timestamp,label,gpu_mb,rank0_40gb_mb,rank1_20gb_mb,rank2_10gb_mb,rank3_10gb_mb
22:57:38.968,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:39.493,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:39.989,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:40.491,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:40.993,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:41.495,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:41.997,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:42.499,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:43.001,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:43.503,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:44.004,s30_9_1_0_b64_mb2,87,37,25,12,12
22:57:44.506,s30_9_1_0_b64_mb2,93,40,25,12,14
22:57:45.011,s30_9_1_0_b64_mb2,565,220,157,94,94
22:57:45.521,s30_9_1_0_b64_mb2,565,220,157,94,94
22:57:46.024,s30_9_1_0_b64_mb2,565,220,157,94,94
22:57:46.526,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:47.027,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:47.529,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:48.031,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:48.533,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:49.035,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:49.537,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:50.043,s30_9_1_0_b64_mb2,587,222,159,96,110
22:57:50.545,s30_9_1_0_b64_mb2,2723,222,1221,1170,110
22:57:51.047,s30_9_1_0_b64_mb2,5283,222,1221,1170,2670
22:57:51.549,s30_9_1_0_b64_mb2,9123,2782,1221,1170,3950
22:57:52.050,s30_9_1_0_b64_mb2,7875,4094,1221,1170,1390
22:57:52.552,s30_9_1_0_b64_mb2,7875,4094,1221,1170,1390
22:57:53.054,s30_9_1_0_b64_mb2,7875,4094,1221,1170,1390
22:57:53.556,s30_9_1_0_b64_mb2,7915,4094,1221,1210,1390
22:57:54.058,s30_9_1_0_b64_mb2,7915,4094,1221,1210,1390
22:57:54.560,s30_9_1_0_b64_mb2,9015,4094,2281,1210,1430
22:57:55.062,s30_9_1_0_b64_mb2,9015,4094,2281,1210,1430
22:57:55.564,s30_9_1_0_b64_mb2,9015,4094,2281,1210,1430
22:57:56.066,s30_9_1_0_b64_mb2,9017,4096,2281,1210,1430
22:57:56.568,s30_9_1_0_b64_mb2,9017,4096,2281,1210,1430
22:57:57.069,s30_9_1_0_b64_mb2,9017,4096,2281,1210,1430
22:57:57.571,s30_9_1_0_b64_mb2,9017,4096,2281,1210,1430
22:57:58.073,s30_9_1_0_b64_mb2,9017,4096,2281,1210,1430
22:57:58.575,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:57:59.077,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:57:59.579,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:58:00.081,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:58:00.583,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:58:01.085,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:58:01.587,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:58:02.089,s30_9_1_0_b64_mb2,10077,4096,3341,1210,1430
22:58:02.590,s30_9_1_0_b64_mb2,11137,4096,4401,1210,1430
22:58:03.093,s30_9_1_0_b64_mb2,11137,4096,4401,1210,1430
22:58:03.595,s30_9_1_0_b64_mb2,11777,4736,4401,1210,1430
22:58:04.097,s30_9_1_0_b64_mb2,11777,4736,4401,1210,1430
22:58:04.599,s30_9_1_0_b64_mb2,11777,4736,4401,1210,1430
22:58:05.100,s30_9_1_0_b64_mb2,11777,4736,4401,1210,1430
22:58:05.602,s30_9_1_0_b64_mb2,11777,4736,4401,1210,1430
22:58:06.105,s30_9_1_0_b64_mb2,11817,4736,4501,1210,1430
22:58:06.606,s30_9_1_0_b64_mb2,12837,4736,5461,1210,1430
22:58:07.108,s30_9_1_0_b64_mb2,12837,4736,5461,1210,1430
22:58:07.610,s30_9_1_0_b64_mb2,13877,5776,5461,1210,1430
22:58:08.112,s30_9_1_0_b64_mb2,13877,5776,5461,1210,1430
22:58:08.614,s30_9_1_0_b64_mb2,13877,5776,5461,1210,1430
22:58:09.116,s30_9_1_0_b64_mb2,13877,5776,5461,1210,1430
22:58:09.617,s30_9_1_0_b64_mb2,13877,5776,5461,1210,1430
22:58:10.119,s30_9_1_0_b64_mb2,14297,5776,5881,1210,1430
22:58:10.621,s30_9_1_0_b64_mb2,14937,5776,6521,1210,1430
22:58:11.123,s30_9_1_0_b64_mb2,15357,6196,6521,1210,1430
22:58:11.626,s30_9_1_0_b64_mb2,15997,6836,6521,1210,1430
22:58:12.127,s30_9_1_0_b64_mb2,15997,6836,6521,1210,1430
22:58:12.629,s30_9_1_0_b64_mb2,15997,6836,6521,1210,1430
22:58:13.131,s30_9_1_0_b64_mb2,15997,6836,6521,1210,1430
22:58:13.633,s30_9_1_0_b64_mb2,15997,6836,6521,1210,1430
22:58:14.135,s30_9_1_0_b64_mb2,17057,6836,7581,1210,1430
22:58:14.638,s30_9_1_0_b64_mb2,17057,6836,7581,1210,1430
22:58:15.140,s30_9_1_0_b64_mb2,18117,7896,7581,1210,1430
22:58:15.642,s30_9_1_0_b64_mb2,18117,7896,7581,1210,1430
22:58:16.144,s30_9_1_0_b64_mb2,18117,7896,7581,1210,1430
22:58:16.646,s30_9_1_0_b64_mb2,18117,7896,7581,1210,1430
22:58:17.148,s30_9_1_0_b64_mb2,18117,7896,7581,1210,1430
22:58:17.650,s30_9_1_0_b64_mb2,18117,7896,7581,1210,1430
22:58:18.152,s30_9_1_0_b64_mb2,19177,7896,8641,1210,1430
22:58:18.654,s30_9_1_0_b64_mb2,19177,7896,8641,1210,1430
22:58:19.156,s30_9_1_0_b64_mb2,20237,8956,8641,1210,1430
22:58:19.658,s30_9_1_0_b64_mb2,20237,8956,8641,1210,1430
22:58:20.160,s30_9_1_0_b64_mb2,20237,8956,8641,1210,1430
22:58:20.662,s30_9_1_0_b64_mb2,20237,8956,8641,1210,1430
22:58:21.164,s30_9_1_0_b64_mb2,20237,8956,8641,1210,1430
22:58:21.666,s30_9_1_0_b64_mb2,20237,8956,8641,1210,1430
22:58:22.168,s30_9_1_0_b64_mb2,21319,8956,9723,1210,1430
22:58:22.670,s30_9_1_0_b64_mb2,21319,8956,9723,1210,1430
22:58:23.172,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:23.674,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:24.176,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:24.678,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:25.180,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:25.682,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:26.184,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:26.686,s30_9_1_0_b64_mb2,22379,10016,9723,1210,1430
22:58:27.189,s30_9_1_0_b64_mb2,23439,11076,9723,1210,1430
22:58:27.691,s30_9_1_0_b64_mb2,23439,11076,9723,1210,1430
22:58:28.193,s30_9_1_0_b64_mb2,23439,11076,9723,1210,1430
22:58:28.695,s30_9_1_0_b64_mb2,23439,11076,9723,1210,1430
22:58:29.197,s30_9_1_0_b64_mb2,23479,11076,9763,1210,1430
22:58:29.698,s30_9_1_0_b64_mb2,23479,11076,9763,1210,1430
22:58:30.200,s30_9_1_0_b64_mb2,23479,11076,9763,1210,1430
22:58:30.702,s30_9_1_0_b64_mb2,24219,11816,9763,1210,1430
