timestamp,label,gpu_mb,rank0_20gb_mb,rank1_10gb_mb,rank2_5gb_mb,rank3_5gb_mb
16:32:03.933,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:04.436,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:04.938,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:05.440,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:05.941,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:06.443,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:06.945,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:07.447,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:07.948,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:08.450,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:08.952,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:09.453,s22_10_5_3_b16_mb2,87,37,25,12,12
16:32:09.955,s22_10_5_3_b16_mb2,142,55,42,14,30
16:32:10.457,s22_10_5_3_b16_mb2,565,220,157,94,94
16:32:10.959,s22_10_5_3_b16_mb2,565,220,157,94,94
16:32:11.461,s22_10_5_3_b16_mb2,573,222,159,96,96
16:32:11.962,s22_10_5_3_b16_mb2,573,222,159,96,96
16:32:12.464,s22_10_5_3_b16_mb2,573,222,159,96,96
16:32:12.966,s22_10_5_3_b16_mb2,1545,1194,159,96,96
16:32:13.469,s22_10_5_3_b16_mb2,1545,1194,159,96,96
16:32:13.970,s22_10_5_3_b16_mb2,3375,1194,769,706,706
16:32:14.472,s22_10_5_3_b16_mb2,3375,1194,769,706,706
16:32:14.974,s22_10_5_3_b16_mb2,3375,1194,769,706,706
16:32:15.476,s22_10_5_3_b16_mb2,3377,1196,769,706,706
16:32:15.979,s22_10_5_3_b16_mb2,3713,1196,769,706,1042
16:32:16.480,s22_10_5_3_b16_mb2,5201,1196,1377,1314,1314
16:32:16.982,s22_10_5_3_b16_mb2,5201,1196,1377,1314,1314
16:32:17.484,s22_10_5_3_b16_mb2,5809,1804,1377,1314,1314
16:32:17.986,s22_10_5_3_b16_mb2,5809,1804,1377,1314,1314
16:32:18.488,s22_10_5_3_b16_mb2,7237,1804,1849,1464,1934
16:32:18.990,s22_10_5_3_b16_mb2,7645,1804,1985,1922,1934
16:32:19.491,s22_10_5_3_b16_mb2,7645,1804,1985,1922,1934
16:32:19.993,s22_10_5_3_b16_mb2,8567,2412,1985,1922,2248
16:32:20.495,s22_10_5_3_b16_mb2,8567,2412,1985,1922,2248
16:32:20.997,s22_10_5_3_b16_mb2,9783,2412,2593,2530,2248
16:32:21.499,s22_10_5_3_b16_mb2,9803,2412,2593,2530,2268
16:32:22.001,s22_10_5_3_b16_mb2,9803,2412,2593,2530,2268
16:32:22.503,s22_10_5_3_b16_mb2,10411,3020,2593,2530,2268
16:32:23.005,s22_10_5_3_b16_mb2,10411,3020,2593,2530,2268
16:32:23.507,s22_10_5_3_b16_mb2,11639,3020,3201,3150,2268
16:32:24.008,s22_10_5_3_b16_mb2,11639,3020,3201,3150,2268
16:32:24.510,s22_10_5_3_b16_mb2,12247,3628,3201,3150,2268
16:32:25.012,s22_10_5_3_b16_mb2,12267,3628,3201,3170,2268
16:32:25.514,s22_10_5_3_b16_mb2,12875,3628,3809,3170,2268
16:32:26.016,s22_10_5_3_b16_mb2,12875,3628,3809,3170,2268
16:32:26.518,s22_10_5_3_b16_mb2,12875,3628,3809,3170,2268
16:32:27.020,s22_10_5_3_b16_mb2,13483,4236,3809,3170,2268
16:32:27.523,s22_10_5_3_b16_mb2,13483,4236,3809,3170,2268
16:32:28.024,s22_10_5_3_b16_mb2,14091,4236,4417,3170,2268
16:32:28.526,s22_10_5_3_b16_mb2,14091,4236,4417,3170,2268
16:32:29.028,s22_10_5_3_b16_mb2,14427,4572,4417,3170,2268
16:32:29.530,s22_10_5_3_b16_mb2,14699,4844,4417,3170,2268
16:32:30.032,s22_10_5_3_b16_mb2,15307,4844,5025,3170,2268
16:32:30.533,s22_10_5_3_b16_mb2,15307,4844,5025,3170,2268
16:32:31.035,s22_10_5_3_b16_mb2,15307,4844,5025,3170,2268
16:32:31.537,s22_10_5_3_b16_mb2,15915,5452,5025,3170,2268
16:32:32.040,s22_10_5_3_b16_mb2,15915,5452,5025,3170,2268
16:32:32.541,s22_10_5_3_b16_mb2,16523,5452,5633,3170,2268
16:32:33.043,s22_10_5_3_b16_mb2,16523,5452,5633,3170,2268
16:32:33.545,s22_10_5_3_b16_mb2,16523,5452,5633,3170,2268
16:32:34.047,s22_10_5_3_b16_mb2,17131,6060,5633,3170,2268
16:32:34.549,s22_10_5_3_b16_mb2,17739,6060,6241,3170,2268
16:32:35.051,s22_10_5_3_b16_mb2,17761,6060,6263,3170,2268
16:32:35.553,s22_10_5_3_b16_mb2,17761,6060,6263,3170,2268
16:32:36.055,s22_10_5_3_b16_mb2,18369,6668,6263,3170,2268
16:32:36.557,s22_10_5_3_b16_mb2,18369,6668,6263,3170,2268
16:32:37.059,s22_10_5_3_b16_mb2,18389,6668,6283,3170,2268
16:32:37.561,s22_10_5_3_b16_mb2,18389,6668,6283,3170,2268
16:32:38.063,s22_10_5_3_b16_mb2,18389,6668,6283,3170,2268
16:32:38.564,s22_10_5_3_b16_mb2,18997,7276,6283,3170,2268
16:32:39.066,s22_10_5_3_b16_mb2,18997,7276,6283,3170,2268
16:32:39.568,s22_10_5_3_b16_mb2,18997,7276,6283,3170,2268
16:32:40.070,s22_10_5_3_b16_mb2,18997,7276,6283,3170,2268
16:32:40.571,s22_10_5_3_b16_mb2,19605,7884,6283,3170,2268
16:32:41.073,s22_10_5_3_b16_mb2,19605,7884,6283,3170,2268
16:32:41.575,s22_10_5_3_b16_mb2,19605,7884,6283,3170,2268
16:32:42.077,s22_10_5_3_b16_mb2,19605,7884,6283,3170,2268
16:32:42.578,s22_10_5_3_b16_mb2,19605,7884,6283,3170,2268
16:32:43.080,s22_10_5_3_b16_mb2,20213,8492,6283,3170,2268
16:32:43.582,s22_10_5_3_b16_mb2,20213,8492,6283,3170,2268
16:32:44.084,s22_10_5_3_b16_mb2,20213,8492,6283,3170,2268
16:32:44.585,s22_10_5_3_b16_mb2,20213,8492,6283,3170,2268
16:32:45.087,s22_10_5_3_b16_mb2,20821,9100,6283,3170,2268
16:32:45.589,s22_10_5_3_b16_mb2,20821,9100,6283,3170,2268
16:32:46.091,s22_10_5_3_b16_mb2,20821,9100,6283,3170,2268
16:32:46.592,s22_10_5_3_b16_mb2,20821,9100,6283,3170,2268
16:32:47.094,s22_10_5_3_b16_mb2,20821,9100,6283,3170,2268
16:32:47.596,s22_10_5_3_b16_mb2,21429,9708,6283,3170,2268
16:32:48.098,s22_10_5_3_b16_mb2,21429,9708,6283,3170,2268
16:32:48.599,s22_10_5_3_b16_mb2,21429,9708,6283,3170,2268
16:32:49.101,s22_10_5_3_b16_mb2,21429,9708,6283,3170,2268
16:32:49.603,s22_10_5_3_b16_mb2,22037,10316,6283,3170,2268
16:32:50.105,s22_10_5_3_b16_mb2,22037,10316,6283,3170,2268
16:32:50.606,s22_10_5_3_b16_mb2,22037,10316,6283,3170,2268
16:32:51.108,s22_10_5_3_b16_mb2,22037,10316,6283,3170,2268
16:32:51.610,s22_10_5_3_b16_mb2,22237,10466,6283,3170,2268
16:32:52.111,s22_10_5_3_b16_mb2,22645,10924,6283,3170,2268
16:32:52.613,s22_10_5_3_b16_mb2,22645,10924,6283,3170,2268
16:32:53.115,s22_10_5_3_b16_mb2,22645,10924,6283,3170,2268
16:32:53.617,s22_10_5_3_b16_mb2,22645,10924,6283,3170,2268
16:32:54.119,s22_10_5_3_b16_mb2,23253,11532,6283,3170,2268
16:32:54.621,s22_10_5_3_b16_mb2,23253,11532,6283,3170,2268
16:32:55.123,s22_10_5_3_b16_mb2,23253,11532,6283,3170,2268
16:32:55.624,s22_10_5_3_b16_mb2,23253,11532,6283,3170,2268
16:32:56.126,s22_10_5_3_b16_mb2,23725,12004,6283,3170,2268
16:32:56.628,s22_10_5_3_b16_mb2,23861,12140,6283,3170,2268
16:32:57.130,s22_10_5_3_b16_mb2,23861,12140,6283,3170,2268
16:32:57.631,s22_10_5_3_b16_mb2,23861,12140,6283,3170,2268
16:32:58.133,s22_10_5_3_b16_mb2,23861,12140,6283,3170,2268
16:32:58.635,s22_10_5_3_b16_mb2,24469,12748,6283,3170,2268
16:32:59.137,s22_10_5_3_b16_mb2,24469,12748,6283,3170,2268
16:32:59.638,s22_10_5_3_b16_mb2,24469,12748,6283,3170,2268
16:33:00.140,s22_10_5_3_b16_mb2,24469,12748,6283,3170,2268
16:33:00.642,s22_10_5_3_b16_mb2,25077,13356,6283,3170,2268
16:33:01.143,s22_10_5_3_b16_mb2,25077,13356,6283,3170,2268
16:33:01.645,s22_10_5_3_b16_mb2,25077,13356,6283,3170,2268
16:33:02.147,s22_10_5_3_b16_mb2,25077,13356,6283,3170,2268
16:33:02.649,s22_10_5_3_b16_mb2,25077,13356,6283,3170,2268
16:33:03.150,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:03.652,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:04.154,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:04.656,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:05.158,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:05.660,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:06.162,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:06.664,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:07.165,s22_10_5_3_b16_mb2,25685,13964,6283,3170,2268
16:33:07.667,s22_10_5_3_b16_mb2,25695,13974,6283,3170,2268
16:33:08.169,s22_10_5_3_b16_mb2,26191,14440,6313,3170,2268
16:33:08.670,s22_10_5_3_b16_mb2,26433,14440,6519,3204,2268
16:33:09.172,s22_10_5_3_b16_mb2,26589,14440,6519,3306,2324
16:33:09.674,s22_10_5_3_b16_mb2,26669,14480,6519,3306,2364
16:33:10.176,s22_10_5_3_b16_mb2,26691,14480,6539,3306,2366
16:33:10.677,s22_10_5_3_b16_mb2,26691,14480,6539,3306,2366
16:33:11.179,s22_10_5_3_b16_mb2,26691,14480,6539,3306,2366
16:33:11.681,s22_10_5_3_b16_mb2,26691,14480,6539,3306,2366
16:33:12.183,s22_10_5_3_b16_mb2,26711,14480,6539,3306,2386
16:33:12.685,s22_10_5_3_b16_mb2,26731,14500,6539,3306,2386
16:33:13.186,s22_10_5_3_b16_mb2,26751,14500,6539,3326,2386
16:33:13.688,s22_10_5_3_b16_mb2,26751,14500,6539,3326,2386
16:33:14.190,s22_10_5_3_b16_mb2,26751,14500,6539,3326,2386
16:33:14.692,s22_10_5_3_b16_mb2,26751,14500,6539,3326,2386
16:33:15.193,s22_10_5_3_b16_mb2,26751,14500,6539,3326,2386
16:33:15.695,s22_10_5_3_b16_mb2,26811,14540,6559,3326,2386
16:33:16.197,s22_10_5_3_b16_mb2,26811,14540,6559,3326,2386
16:33:16.698,s22_10_5_3_b16_mb2,26811,14540,6559,3326,2386
16:33:17.200,s22_10_5_3_b16_mb2,26811,14540,6559,3326,2386
16:33:17.702,s22_10_5_3_b16_mb2,26811,14540,6559,3326,2386
16:33:18.204,s22_10_5_3_b16_mb2,26811,14540,6559,3326,2386
16:33:18.705,s22_10_5_3_b16_mb2,26811,14540,6559,3326,2386
16:33:19.207,s22_10_5_3_b16_mb2,26851,14560,6579,3326,2386
16:33:19.709,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:20.211,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:20.712,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:21.214,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:21.716,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:22.218,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:22.719,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:23.221,s22_10_5_3_b16_mb2,26871,14580,6579,3326,2386
16:33:23.723,s22_10_5_3_b16_mb2,26931,14620,6599,3326,2386
16:33:24.225,s22_10_5_3_b16_mb2,26971,14640,6599,3346,2386
16:33:24.727,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:25.228,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:25.730,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:26.232,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:26.734,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:27.236,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:27.737,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:28.239,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:28.741,s22_10_5_3_b16_mb2,26991,14640,6619,3346,2386
16:33:29.242,s22_10_5_3_b16_mb2,27071,14700,6639,3346,2386
16:33:29.744,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:30.246,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:30.748,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:31.250,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:31.751,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:32.253,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:32.755,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:33.257,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:33.758,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:34.260,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:34.762,s22_10_5_3_b16_mb2,27111,14700,6639,3366,2406
16:33:35.263,s22_10_5_3_b16_mb2,27211,14760,6679,3366,2406
16:33:35.765,s22_10_5_3_b16_mb2,27251,14780,6679,3386,2406
16:33:36.267,s22_10_5_3_b16_mb2,27251,14780,6679,3386,2406
16:33:36.769,s22_10_5_3_b16_mb2,27251,14780,6679,3386,2406
16:33:37.270,s22_10_5_3_b16_mb2,27251,14780,6679,3386,2406
16:33:37.772,s22_10_5_3_b16_mb2,27251,14780,6679,3386,2406
