timestamp,label,gpu_mb,rank0_20gb_mb,rank1_10gb_mb,rank2_5gb_mb,rank3_5gb_mb
08:13:42.882,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:43.385,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:43.887,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:44.389,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:44.891,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:45.393,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:45.894,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:46.396,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:46.898,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:47.400,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:47.901,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:48.404,s18_9_4_1_b8_mb2,87,37,25,12,12
08:13:48.905,s18_9_4_1_b8_mb2,87,37,25,29,12
08:13:49.407,s18_9_4_1_b8_mb2,160,55,42,94,32
08:13:49.909,s18_9_4_1_b8_mb2,565,220,157,94,94
08:13:50.410,s18_9_4_1_b8_mb2,565,220,157,96,94
08:13:50.912,s18_9_4_1_b8_mb2,573,222,159,96,96
08:13:51.414,s18_9_4_1_b8_mb2,573,222,159,96,96
08:13:51.917,s18_9_4_1_b8_mb2,1373,734,159,96,96
08:13:52.418,s18_9_4_1_b8_mb2,1469,1022,191,518,128
08:13:52.920,s18_9_4_1_b8_mb2,2651,1022,581,518,530
08:13:53.422,s18_9_4_1_b8_mb2,3163,1022,581,518,1042
08:13:53.924,s18_9_4_1_b8_mb2,2909,1024,581,518,786
08:13:54.426,s18_9_4_1_b8_mb2,3749,1024,1001,938,786
08:13:54.928,s18_9_4_1_b8_mb2,3753,1024,1001,938,790
08:13:55.430,s18_9_4_1_b8_mb2,4089,1360,1001,938,790
08:13:55.931,s18_9_4_1_b8_mb2,4929,1360,1421,1358,790
08:13:56.433,s18_9_4_1_b8_mb2,4929,1360,1421,1358,790
08:13:56.935,s18_9_4_1_b8_mb2,5329,1760,1421,1358,790
08:13:57.437,s18_9_4_1_b8_mb2,5945,1760,1841,1790,790
08:13:57.938,s18_9_4_1_b8_mb2,6181,1760,1841,1790,790
08:13:58.440,s18_9_4_1_b8_mb2,6181,1760,1841,1790,790
08:13:58.942,s18_9_4_1_b8_mb2,6601,2180,1841,1790,790
08:13:59.444,s18_9_4_1_b8_mb2,7025,2180,2261,1794,790
08:13:59.946,s18_9_4_1_b8_mb2,7025,2180,2261,1794,790
08:14:00.448,s18_9_4_1_b8_mb2,7445,2600,2261,1794,790
08:14:00.950,s18_9_4_1_b8_mb2,7865,2600,2681,1794,790
08:14:01.453,s18_9_4_1_b8_mb2,7865,2600,2681,1794,790
08:14:01.954,s18_9_4_1_b8_mb2,8285,2796,2681,1794,790
08:14:02.456,s18_9_4_1_b8_mb2,8705,3020,3101,1794,790
08:14:02.958,s18_9_4_1_b8_mb2,8705,3020,3101,1794,790
08:14:03.462,s18_9_4_1_b8_mb2,9125,3020,3101,1794,790
08:14:03.963,s18_9_4_1_b8_mb2,9545,3440,3521,1794,790
08:14:04.466,s18_9_4_1_b8_mb2,9545,3440,3521,1794,790
08:14:04.968,s18_9_4_1_b8_mb2,9853,3440,3521,1794,790
08:14:05.469,s18_9_4_1_b8_mb2,10407,3860,3963,1794,790
08:14:05.971,s18_9_4_1_b8_mb2,10407,3860,3963,1794,790
