timestamp,label,gpu_mb,rank0_20gb_mb,rank1_10gb_mb,rank2_5gb_mb,rank3_5gb_mb
08:43:59.655,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:00.158,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:00.660,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:01.162,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:01.664,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:02.166,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:02.667,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:03.169,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:03.671,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:04.173,s16_8_4_0_b32_mb2,87,37,25,12,12
08:44:04.675,s16_8_4_0_b32_mb2,88,37,25,12,12
08:44:05.176,s16_8_4_0_b32_mb2,169,62,43,32,30
08:44:05.678,s16_8_4_0_b32_mb2,565,220,157,94,94
08:44:06.179,s16_8_4_0_b32_mb2,565,220,157,94,94
08:44:06.681,s16_8_4_0_b32_mb2,579,220,157,94,108
08:44:07.183,s16_8_4_0_b32_mb2,579,220,157,94,108
08:44:07.685,s16_8_4_0_b32_mb2,579,220,157,94,108
08:44:08.187,s16_8_4_0_b32_mb2,1377,220,621,558,108
08:44:08.688,s16_8_4_0_b32_mb2,1507,220,621,558,108
08:44:09.191,s16_8_4_0_b32_mb2,1507,220,621,558,108
08:44:09.693,s16_8_4_0_b32_mb2,1507,220,621,558,108
08:44:10.195,s16_8_4_0_b32_mb2,4471,220,1063,1000,2188
08:44:10.697,s16_8_4_0_b32_mb2,7591,2300,1063,1000,3228
08:44:11.199,s16_8_4_0_b32_mb2,6583,3372,1063,1000,1148
08:44:11.701,s16_8_4_0_b32_mb2,7377,3372,1395,1462,1148
08:44:12.203,s16_8_4_0_b32_mb2,7521,3372,1525,1462,1162
08:44:12.704,s16_8_4_0_b32_mb2,7523,3374,1525,1462,1162
08:44:13.209,s16_8_4_0_b32_mb2,7523,3374,1525,1462,1162
08:44:13.710,s16_8_4_0_b32_mb2,8419,3374,1967,1916,1162
