timestamp,label,gpu_mb,rank0_20gb_mb,rank1_10gb_mb,rank2_5gb_mb,rank3_5gb_mb
10:18:09.648,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:10.183,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:10.681,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:11.183,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:11.685,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:12.186,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:12.688,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:13.190,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:13.692,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:14.194,s18_8_4_2_b64_mb2,87,37,25,12,12
10:18:14.696,s18_8_4_2_b64_mb2,229,56,43,32,94
10:18:15.200,s18_8_4_2_b64_mb2,565,220,157,94,94
10:18:15.711,s18_8_4_2_b64_mb2,567,220,157,94,96
10:18:16.213,s18_8_4_2_b64_mb2,573,222,159,96,96
10:18:16.715,s18_8_4_2_b64_mb2,573,222,159,96,96
10:18:17.217,s18_8_4_2_b64_mb2,1355,1004,159,96,96
10:18:17.718,s18_8_4_2_b64_mb2,2519,1004,547,484,484
10:18:18.220,s18_8_4_2_b64_mb2,2519,1004,547,484,484
10:18:18.722,s18_8_4_2_b64_mb2,2521,1006,547,484,484
10:18:19.224,s18_8_4_2_b64_mb2,3691,1006,933,870,882
10:18:19.726,s18_8_4_2_b64_mb2,3691,1006,933,870,882
10:18:20.228,s18_8_4_2_b64_mb2,4731,1296,933,870,1632
10:18:20.730,s18_8_4_2_b64_mb2,5503,1296,1319,1256,1632
10:18:21.232,s18_8_4_2_b64_mb2,5503,1296,1319,1256,1632
10:18:21.734,s18_8_4_2_b64_mb2,5889,1682,1319,1256,1632
10:18:22.235,s18_8_4_2_b64_mb2,6673,1682,1705,1654,1632
10:18:22.737,s18_8_4_2_b64_mb2,6673,1682,1705,1654,1632
10:18:23.239,s18_8_4_2_b64_mb2,7059,2068,1705,1654,1632
10:18:23.741,s18_8_4_2_b64_mb2,7445,2068,2091,1654,1632
10:18:24.243,s18_8_4_2_b64_mb2,7445,2068,2091,1654,1632
10:18:24.744,s18_8_4_2_b64_mb2,7331,2454,2091,1654,1132
10:18:25.246,s18_8_4_2_b64_mb2,7717,2454,2477,1654,1132
10:18:25.748,s18_8_4_2_b64_mb2,7717,2454,2477,1654,1132
10:18:26.250,s18_8_4_2_b64_mb2,8103,2840,2477,1654,1132
10:18:26.752,s18_8_4_2_b64_mb2,8521,2840,2863,1654,1164
10:18:27.254,s18_8_4_2_b64_mb2,8521,2840,2863,1654,1164
10:18:27.756,s18_8_4_2_b64_mb2,8907,3226,2863,1654,1164
10:18:28.257,s18_8_4_2_b64_mb2,9315,3226,3271,1654,1164
10:18:28.759,s18_8_4_2_b64_mb2,9347,3226,3271,1686,1164
10:18:29.261,s18_8_4_2_b64_mb2,9733,3612,3271,1686,1164
10:18:29.763,s18_8_4_2_b64_mb2,9733,3612,3271,1686,1164
10:18:30.264,s18_8_4_2_b64_mb2,10119,3912,3271,1686,1164
10:18:30.766,s18_8_4_2_b64_mb2,10119,3998,3271,1686,1164
10:18:31.268,s18_8_4_2_b64_mb2,10119,3998,3271,1686,1164
10:18:31.770,s18_8_4_2_b64_mb2,10505,4384,3271,1686,1164
10:18:32.271,s18_8_4_2_b64_mb2,10505,4384,3271,1686,1164
10:18:32.773,s18_8_4_2_b64_mb2,10505,4384,3271,1686,1164
10:18:33.275,s18_8_4_2_b64_mb2,10891,4770,3271,1686,1164
10:18:33.777,s18_8_4_2_b64_mb2,10891,4770,3271,1686,1164
10:18:34.278,s18_8_4_2_b64_mb2,10891,4770,3271,1686,1164
10:18:34.780,s18_8_4_2_b64_mb2,11309,5156,3303,1686,1164
10:18:35.282,s18_8_4_2_b64_mb2,11309,5156,3303,1686,1164
10:18:35.784,s18_8_4_2_b64_mb2,11309,5156,3303,1686,1164
10:18:36.285,s18_8_4_2_b64_mb2,11695,5542,3303,1686,1164
10:18:36.787,s18_8_4_2_b64_mb2,11695,5542,3303,1686,1164
10:18:37.289,s18_8_4_2_b64_mb2,11695,5542,3303,1686,1164
