timestamp,label,gpu_mb,rank0_20gb_mb,rank1_10gb_mb,rank2_5gb_mb,rank3_5gb_mb
21:06:52.517,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:53.019,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:53.521,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:54.023,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:54.525,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:55.027,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:55.528,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:56.030,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:56.532,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:57.034,s30_15_3_0_b16_mb2,87,37,25,12,12
21:06:57.535,s30_15_3_0_b16_mb2,112,40,25,14,12
21:06:58.037,s30_15_3_0_b16_mb2,565,220,42,94,94
21:06:58.539,s30_15_3_0_b16_mb2,565,220,157,94,94
21:06:59.041,s30_15_3_0_b16_mb2,573,222,157,96,96
21:06:59.543,s30_15_3_0_b16_mb2,587,222,159,96,110
21:07:00.044,s30_15_3_0_b16_mb2,587,222,159,96,110
21:07:00.547,s30_15_3_0_b16_mb2,587,222,159,96,110
21:07:01.048,s30_15_3_0_b16_mb2,587,222,159,96,110
21:07:01.550,s30_15_3_0_b16_mb2,1647,222,689,626,110
21:07:02.052,s30_15_3_0_b16_mb2,1647,222,689,626,110
21:07:02.553,s30_15_3_0_b16_mb2,1647,222,689,626,110
21:07:03.056,s30_15_3_0_b16_mb2,1697,222,689,626,110
21:07:03.557,s30_15_3_0_b16_mb2,2703,222,1217,1154,110
21:07:04.059,s30_15_3_0_b16_mb2,2703,222,1217,1154,110
21:07:04.561,s30_15_3_0_b16_mb2,5673,222,1217,1154,3080
21:07:05.063,s30_15_3_0_b16_mb2,10435,3192,1337,1410,4566
21:07:05.565,s30_15_3_0_b16_mb2,9745,4710,1745,1694,1596
21:07:06.067,s30_15_3_0_b16_mb2,9745,4710,1745,1694,1596
21:07:06.569,s30_15_3_0_b16_mb2,9745,4710,1745,1694,1596
21:07:07.071,s30_15_3_0_b16_mb2,9745,4710,1745,1694,1596
21:07:07.573,s30_15_3_0_b16_mb2,10315,4710,2273,1714,1616
21:07:08.075,s30_15_3_0_b16_mb2,10315,4712,2273,1714,1616
21:07:08.576,s30_15_3_0_b16_mb2,10315,4712,2273,1714,1616
21:07:09.078,s30_15_3_0_b16_mb2,10315,4712,2273,1714,1616
21:07:09.580,s30_15_3_0_b16_mb2,10843,4712,2801,1714,1616
21:07:10.081,s30_15_3_0_b16_mb2,10843,4712,2801,1714,1616
21:07:10.583,s30_15_3_0_b16_mb2,10843,4712,2801,1714,1616
21:07:11.085,s30_15_3_0_b16_mb2,10843,4712,2801,1714,1616
21:07:11.586,s30_15_3_0_b16_mb2,11371,4712,3329,1714,1616
21:07:12.088,s30_15_3_0_b16_mb2,11371,4712,3329,1714,1616
21:07:12.590,s30_15_3_0_b16_mb2,11371,4712,3329,1714,1616
21:07:13.092,s30_15_3_0_b16_mb2,11441,4712,3449,1714,1616
