timestamp,label,gpu_mb,rank0_20gb_mb,rank1_10gb_mb,rank2_5gb_mb,rank3_5gb_mb
01:04:21.471,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:21.977,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:22.479,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:22.981,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:23.483,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:23.984,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:24.486,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:24.988,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:25.489,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:25.991,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:26.493,s16_8_4_0_b64_mb2,87,37,25,12,12
01:04:26.994,s16_8_4_0_b64_mb2,110,54,27,14,12
01:04:27.496,s16_8_4_0_b64_mb2,565,220,157,94,94
01:04:27.998,s16_8_4_0_b64_mb2,565,220,157,94,94
01:04:28.499,s16_8_4_0_b64_mb2,565,220,157,94,94
01:04:29.001,s16_8_4_0_b64_mb2,579,220,157,94,108
01:04:29.503,s16_8_4_0_b64_mb2,579,220,157,94,108
01:04:30.005,s16_8_4_0_b64_mb2,579,220,157,94,108
01:04:30.507,s16_8_4_0_b64_mb2,1507,220,621,558,108
01:04:31.008,s16_8_4_0_b64_mb2,1507,220,621,558,108
01:04:31.510,s16_8_4_0_b64_mb2,1507,220,621,558,108
01:04:32.012,s16_8_4_0_b64_mb2,2391,220,1063,1000,108
01:04:32.514,s16_8_4_0_b64_mb2,6551,2300,1063,1000,2188
01:04:33.016,s16_8_4_0_b64_mb2,6583,3372,1063,1000,1148
01:04:33.517,s16_8_4_0_b64_mb2,6915,3372,1063,1202,1148
01:04:34.019,s16_8_4_0_b64_mb2,7537,3372,1525,1462,1178
01:04:34.521,s16_8_4_0_b64_mb2,7539,3374,1525,1462,1178
01:04:35.023,s16_8_4_0_b64_mb2,7539,3374,1525,1462,1178
01:04:35.524,s16_8_4_0_b64_mb2,8435,3374,1967,1916,1178
01:04:36.026,s16_8_4_0_b64_mb2,8435,3374,1967,1916,1178
01:04:36.528,s16_8_4_0_b64_mb2,8435,3374,1967,1916,1178
01:04:37.030,s16_8_4_0_b64_mb2,8907,3374,2409,1946,1178
01:04:37.532,s16_8_4_0_b64_mb2,8907,3374,2409,1946,1178
01:04:38.033,s16_8_4_0_b64_mb2,8907,3374,2409,1946,1178
01:04:38.535,s16_8_4_0_b64_mb2,8907,3374,2409,1946,1178
01:04:39.037,s16_8_4_0_b64_mb2,9369,3374,2871,1946,1178
01:04:39.538,s16_8_4_0_b64_mb2,9369,3374,2871,1946,1178
01:04:40.040,s16_8_4_0_b64_mb2,9369,3374,2871,1946,1178
01:04:40.542,s16_8_4_0_b64_mb2,9811,3374,3313,1946,1178
01:04:41.044,s16_8_4_0_b64_mb2,9811,3374,3313,1946,1178
01:04:41.545,s16_8_4_0_b64_mb2,10071,3634,3313,1946,1178
01:04:42.047,s16_8_4_0_b64_mb2,10555,3634,3797,1946,1178
01:04:42.549,s16_8_4_0_b64_mb2,10555,3634,3797,1946,1178
01:04:43.050,s16_8_4_0_b64_mb2,10945,4024,3797,1946,1178
01:04:43.552,s16_8_4_0_b64_mb2,10945,4024,3797,1946,1178
01:04:44.054,s16_8_4_0_b64_mb2,10945,4024,3797,1946,1178
01:04:44.555,s16_8_4_0_b64_mb2,10977,4024,3829,1946,1178
01:04:45.057,s16_8_4_0_b64_mb2,11367,4414,3829,1946,1178
