split,batch_size,microbatch_size,latency_ms
"[14, 12, 6]",128,4,921.3382975260416
"[14, 12, 6]",128,8,659.65185546875
"[14, 12, 6]",128,16,545.0963134765625
"[14, 12, 6]",128,32,522.9497884114584
"[14, 12, 6]",128,64,506.3858642578125
"[15, 11, 6]",128,4,881.1112467447916
"[15, 11, 6]",128,8,651.5030924479166
"[15, 11, 6]",128,16,548.0360514322916
"[15, 11, 6]",128,32,524.6107177734375
"[15, 11, 6]",128,64,503.2884521484375
"[15, 12, 5]",128,4,909.6124674479166
"[15, 12, 5]",128,8,636.6455891927084
"[15, 12, 5]",128,16,527.9304606119791
"[15, 12, 5]",128,32,496.4826253255208
"[15, 12, 5]",128,64,483.8822835286458
"[16, 10, 6]",128,4,877.0972493489584
"[16, 10, 6]",128,8,634.8687337239584
"[16, 10, 6]",128,16,530.5503336588541
"[16, 10, 6]",128,32,514.6768391927084
"[16, 10, 6]",128,64,506.6707356770833
"[16, 11, 5]",128,4,884.0425618489584
"[16, 11, 5]",128,8,620.4907633463541
"[16, 11, 5]",128,16,514.3109537760416
"[16, 11, 5]",128,32,484.9794921875
"[16, 11, 5]",128,64,481.4431966145833
"[16, 12, 4]",128,4,907.97021484375
"[16, 12, 4]",128,8,658.3830973307291
"[16, 12, 4]",128,16,513.2496744791666
"[16, 12, 4]",128,32,482.7101643880208
"[16, 12, 4]",128,64,461.5412190755208
"[17, 9, 6]",128,4,917.8004557291666
"[17, 9, 6]",128,8,645.6799723307291
"[17, 9, 6]",128,16,528.4046223958334
"[17, 9, 6]",128,32,514.9112548828125
"[17, 9, 6]",128,64,495.1725667317708
"[17, 10, 5]",128,4,895.0785319010416
"[17, 10, 5]",128,8,634.4590250651041
"[17, 10, 5]",128,16,514.8193359375
"[17, 10, 5]",128,32,480.4991455078125
"[17, 10, 5]",128,64,472.6631673177083
"[17, 11, 4]",128,4,897.1913248697916
"[17, 11, 4]",128,8,625.8370768229166
"[17, 11, 4]",128,16,499.8219807942708
"[17, 11, 4]",128,32,480.3928629557292
"[17, 11, 4]",128,64,458.4684651692708
"[17, 12, 3]",128,4,906.1876627604166
"[17, 12, 3]",128,8,653.0076497395834
"[17, 12, 3]",128,16,521.8980712890625
