batch_size,microbatch_size,num_microbatches,pulp_split,mem_limits,data_split,predicted_ms,measured_ms,error_pct
32,16,2,25/6/1,25/12/12,8/12/12,22121.2,76626.9,-71.1
32,8,4,25/6/1,25/12/12,8/12/12,44242.5,119371.8,-62.9
32,4,8,25/6/1,25/12/12,8/12/12,88484.9,208772.5,-57.6
32,16,2,25/6/1,25/12/12,9/11/12,22121.2,75572.8,-70.7
32,8,4,25/6/1,25/12/12,9/11/12,44242.5,117952.0,-62.5
32,4,8,25/6/1,25/12/12,9/11/12,88484.9,206557.6,-57.2
32,16,2,25/6/1,25/12/12,9/12/11,22121.2,75537.1,-70.7
32,8,4,25/6/1,25/12/12,9/12/11,44242.5,117843.4,-62.5
32,4,8,25/6/1,25/12/12,9/12/11,88484.9,206801.1,-57.2
32,16,2,25/6/1,25/12/12,10/10/12,22121.2,74448.4,-70.3
32,8,4,25/6/1,25/12/12,10/10/12,44242.5,116280.0,-62.0
32,4,8,25/6/1,25/12/12,10/10/12,88484.9,204580.1,-56.7
32,16,2,25/6/1,25/12/12,10/11/11,22121.2,74564.3,-70.3
32,8,4,25/6/1,25/12/12,10/11/11,44242.5,116379.3,-62.0
32,4,8,25/6/1,25/12/12,10/11/11,88484.9,204413.5,-56.7
32,16,2,25/6/1,25/12/12,10/12/10,22121.2,74588.3,-70.3
32,8,4,25/6/1,25/12/12,10/12/10,44242.5,116484.2,-62.0
32,4,8,25/6/1,25/12/12,10/12/10,88484.9,204854.1,-56.8
32,16,2,25/6/1,25/12/12,11/9/12,22121.2,73605.6,-69.9
32,8,4,25/6/1,25/12/12,11/9/12,44242.5,114555.2,-61.4
32,4,8,25/6/1,25/12/12,11/9/12,88484.9,202343.0,-56.3
32,16,2,25/6/1,25/12/12,11/10/11,22121.2,73491.5,-69.9
32,8,4,25/6/1,25/12/12,11/10/11,44242.5,114872.8,-61.5
32,4,8,25/6/1,25/12/12,11/10/11,88484.9,202084.9,-56.2
32,16,2,25/6/1,25/12/12,11/11/10,22121.2,73486.3,-69.9
32,8,4,25/6/1,25/12/12,11/11/10,44242.5,115718.4,-61.8
32,4,8,25/6/1,25/12/12,11/11/10,88484.9,204551.4,-56.7
32,16,2,25/6/1,25/12/12,11/12/9,22121.2,73946.9,-70.1
32,8,4,25/6/1,25/12/12,11/12/9,44242.5,115302.6,-61.6
32,4,8,25/6/1,25/12/12,11/12/9,88484.9,202883.1,-56.4
32,16,2,25/6/1,25/12/12,12/8/12,22121.2,72795.4,-69.6
32,8,4,25/6/1,25/12/12,12/8/12,44242.5,113740.7,-61.1
32,4,8,25/6/1,25/12/12,12/8/12,88484.9,200275.1,-55.8
32,16,2,25/6/1,25/12/12,12/9/11,22121.2,72745.1,-69.6
32,8,4,25/6/1,25/12/12,12/9/11,44242.5,113885.2,-61.2
32,4,8,25/6/1,25/12/12,12/9/11,88484.9,200112.7,-55.8
32,16,2,25/6/1,25/12/12,12/10/10,22121.2,72612.1,-69.5
32,8,4,25/6/1,25/12/12,12/10/10,44242.5,113606.8,-61.1
32,4,8,25/6/1,25/12/12,12/10/10,88484.9,200437.4,-55.9
32,16,2,25/6/1,25/12/12,12/11/9,22121.2,72829.7,-69.6
32,8,4,25/6/1,25/12/12,12/11/9,44242.5,113788.1,-61.1
32,4,8,25/6/1,25/12/12,12/11/9,88484.9,200492.0,-55.9
32,16,2,25/6/1,25/12/12,12/12/8,22121.2,72916.2,-69.7
32,8,4,25/6/1,25/12/12,12/12/8,44242.5,113886.8,-61.2
