split,latency_ms
"[4, 20, 8]",334.377978515625
"[5, 19, 8]",294.344677734375
"[5, 20, 7]",341.9314697265625
"[6, 18, 8]",338.003369140625
"[6, 19, 7]",324.395654296875
"[6, 20, 6]",290.24384765625
"[7, 17, 8]",323.5743896484375
"[7, 18, 7]",322.2516845703125
"[7, 19, 6]",313.5115478515625
"[7, 20, 5]",374.8379150390625
"[8, 16, 8]",331.5070556640625
"[8, 17, 7]",311.5528564453125
"[8, 18, 6]",314.799658203125
"[8, 19, 5]",318.256494140625
"[8, 20, 4]",329.051513671875
"[9, 15, 8]",319.1311767578125
"[9, 16, 7]",317.7489501953125
"[9, 17, 6]",301.2807373046875
"[9, 18, 5]",285.7677001953125
"[9, 19, 4]",333.8007080078125
"[9, 20, 3]",337.2828369140625
"[10, 14, 8]",325.366943359375
"[10, 15, 7]",318.040087890625
"[10, 16, 6]",317.045654296875
"[10, 17, 5]",329.6531494140625
"[10, 18, 4]",327.66826171875
"[10, 19, 3]",320.10947265625
"[10, 20, 2]",317.8780517578125
"[11, 13, 8]",331.8740966796875
"[11, 14, 7]",324.4856689453125
"[11, 15, 6]",305.869482421875
"[11, 16, 5]",316.9310302734375
"[11, 17, 4]",312.986474609375
"[11, 18, 3]",329.9783203125
"[11, 19, 2]",331.8581298828125
"[11, 20, 1]",318.7086181640625
"[12, 12, 8]",320.725732421875
"[12, 13, 7]",320.426416015625
"[12, 14, 6]",312.6800048828125
"[12, 15, 5]",295.3564697265625
"[12, 16, 4]",316.69033203125
"[12, 17, 3]",316.317138671875
"[12, 18, 2]",329.4763916015625
"[12, 19, 1]",318.780126953125
"[13, 11, 8]",317.733740234375
"[13, 12, 7]",324.8270263671875
"[13, 13, 6]",313.086328125
"[13, 14, 5]",266.8747802734375
"[13, 15, 4]",316.4501708984375
"[13, 16, 3]",312.776806640625
"[13, 17, 2]",323.945166015625
"[13, 18, 1]",311.1266357421875
"[14, 10, 8]",327.1595458984375
"[14, 11, 7]",308.3735595703125
"[14, 12, 6]",303.706640625
"[14, 13, 5]",311.9796142578125
"[14, 14, 4]",292.470703125
"[14, 15, 3]",314.53505859375
"[14, 16, 2]",313.40029296875
"[14, 17, 1]",331.4477294921875
"[15, 9, 8]",324.222509765625
"[15, 10, 7]",325.51337890625
"[15, 11, 6]",316.21591796875
"[15, 12, 5]",297.8186767578125
"[15, 13, 4]",298.901416015625
"[15, 14, 3]",305.84052734375
"[15, 15, 2]",308.3157958984375
"[15, 16, 1]",321.25146484375
"[16, 8, 8]",327.95029296875
"[16, 9, 7]",321.2693359375
"[16, 10, 6]",311.327001953125
"[16, 11, 5]",295.6230224609375
"[16, 12, 4]",299.9191162109375
"[16, 13, 3]",292.7110595703125
"[16, 14, 2]",313.57021484375
"[16, 15, 1]",311.9875
"[17, 7, 8]",314.5994873046875
"[17, 8, 7]",322.96650390625
"[17, 9, 6]",298.1464111328125
"[17, 10, 5]",295.9126953125
"[17, 11, 4]",293.56083984375
"[17, 12, 3]",307.6162353515625
"[17, 13, 2]",302.98623046875
"[17, 14, 1]",307.6121826171875
"[18, 6, 8]",313.7593017578125
"[18, 7, 7]",304.528271484375
"[18, 8, 6]",314.0164794921875
"[18, 9, 5]",301.61005859375
"[18, 10, 4]",282.09375
"[18, 11, 3]",283.4966552734375
"[18, 12, 2]",302.2098388671875
"[18, 13, 1]",313.7201416015625
"[19, 5, 8]",317.6078369140625
"[19, 6, 7]",304.5013916015625
"[19, 7, 6]",311.425244140625
"[19, 8, 5]",306.704345703125
"[19, 9, 4]",297.0137451171875
"[19, 10, 3]",303.3232666015625
"[19, 11, 2]",296.9179443359375
"[19, 12, 1]",300.0707275390625
"[20, 4, 8]",322.0021240234375
"[20, 5, 7]",318.1336181640625
"[20, 6, 6]",304.58798828125
"[20, 7, 5]",291.9008056640625
"[20, 8, 4]",290.65595703125
"[20, 9, 3]",286.9750732421875
"[20, 10, 2]",251.239501953125
"[20, 11, 1]",296.7270263671875
"[21, 3, 8]",327.50126953125
"[21, 4, 7]",303.3067626953125
"[21, 5, 6]",297.8736083984375
"[21, 6, 5]",300.383544921875
"[21, 7, 4]",293.567041015625
"[21, 8, 3]",287.4925048828125
"[21, 9, 2]",292.838330078125
"[21, 10, 1]",294.332470703125
"[22, 2, 8]",320.138623046875
"[22, 3, 7]",321.1251953125
"[22, 4, 6]",303.3674072265625
"[22, 5, 5]",301.3438232421875
"[22, 6, 4]",286.1349853515625
"[22, 7, 3]",287.77041015625
"[22, 8, 2]",291.675048828125
"[22, 9, 1]",291.5734619140625
"[23, 1, 8]",319.5684326171875
"[23, 2, 7]",308.550390625
"[23, 3, 6]",309.1621826171875
"[23, 4, 5]",296.0349365234375
"[23, 5, 4]",295.0474853515625
"[23, 6, 3]",289.2486328125
"[23, 7, 2]",281.507861328125
"[23, 8, 1]",283.6615966796875
"[24, 1, 7]",307.3162353515625
"[24, 2, 6]",308.8682373046875
"[24, 3, 5]",290.296923828125
"[24, 4, 4]",278.614111328125
"[24, 5, 3]",285.1130615234375
"[24, 6, 2]",282.533837890625
"[24, 7, 1]",296.415673828125
"[25, 1, 6]",296.8392578125
"[25, 2, 5]",296.91298828125
"[25, 3, 4]",294.6950927734375
"[25, 4, 3]",291.4091064453125
"[25, 5, 2]",284.784765625
"[25, 6, 1]",298.8474853515625
"[26, 1, 5]",299.281591796875
"[26, 2, 4]",291.393505859375
"[26, 3, 3]",290.3017333984375
"[26, 4, 2]",292.567041015625
"[26, 5, 1]",289.4501953125
"[27, 1, 4]",294.452001953125
"[27, 2, 3]",292.9123291015625
"[27, 3, 2]",291.3174560546875
"[27, 4, 1]",291.2869873046875
"[28, 1, 3]",291.3070556640625
"[28, 2, 2]",291.06220703125
"[28, 3, 1]",293.5595703125
"[29, 1, 2]",297.8294921875
"[29, 2, 1]",294.2876708984375
"[30, 1, 1]",291.0183349609375
