20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
20,10,5,5,8,4,2,512,18568,9223,4670,4568,11713,6245,3277,3497,103131.6953125,ok
20,10,5,5,8,2,4,512,15332,7599,3846,4162,12148,6296,3258,3550,191665.34375,ok
20,10,5,5,16,8,2,512,19402,9727,4824,4858,13135,6964,3591,3808,117723.2578125,ok
20,10,5,5,16,4,4,512,19236,9843,4768,4856,13698,7064,3666,3934,203687.515625,ok
20,10,5,5,16,2,8,512,17892,8887,4494,4810,13997,7133,3650,3952,381724.21875,ok
21,9,5,5,8,4,2,512,19464,9215,4670,4742,12210,5740,3258,3492,102000.640625,ok
21,9,5,5,8,2,4,512,16068,6863,3846,4162,12656,5710,3258,3549,189711.328125,ok
21,9,5,5,16,8,2,512,19812,9821,4824,4858,13409,6517,3579,3798,116671.75,ok
21,9,5,5,16,4,4,512,19032,9253,4768,4856,14201,6595,3658,3925,202790.296875,ok
21,9,5,5,16,2,8,512,18756,8015,4494,4810,14669,6441,3647,3949,377825.125,ok
21,10,5,4,8,4,2,512,19908,9223,4670,4496,12142,6219,3258,2957,99889.34375,ok
21,10,5,4,8,2,4,512,16068,7599,3846,3426,12634,6286,3253,2936,185958.921875,ok
21,10,5,4,16,8,2,512,19812,9791,4822,4834,13325,6913,3563,3312,114027.328125,ok
21,10,5,4,16,4,4,512,19032,9481,4768,4692,14196,7044,3655,3341,198412.71875,ok
21,10,5,4,16,2,8,512,18756,8887,4494,3946,14631,7107,3641,3258,369914.5625,ok
22,8,5,5,8,4,2,512,18416,8223,4670,4568,12426,5158,3269,3494,100960.84375,ok
22,8,5,5,8,2,4,512,16804,6127,3846,4162,13119,5103,3247,3533,187851.078125,ok
22,8,5,5,16,8,2,512,19810,9765,4822,4860,13886,6135,3560,3781,115789.5859375,ok
22,8,5,5,16,4,4,512,19594,9675,4768,4856,14646,6103,3647,3913,200638.296875,ok
22,8,5,5,16,2,8,512,19620,7159,4494,4810,15265,5758,3638,3940,373873.5,ok
22,9,5,4,8,4,2,512,18416,9215,4670,4496,12376,5713,3244,2945,98925.84375,ok
22,9,5,4,8,2,4,512,16804,6863,3846,3482,13142,5702,3255,2941,183932.546875,ok
22,9,5,4,16,8,2,512,19810,9821,4822,4834,13884,6482,3564,3317,113287.5078125,ok
22,9,5,4,16,4,4,512,19594,9253,4768,4692,14617,6555,3640,3324,196518.453125,ok
22,9,5,4,16,2,8,512,19620,8015,4494,3946,15235,6425,3633,3252,366118.9375,ok
22,10,4,4,8,4,2,512,18416,9223,4182,4496,12237,6162,2659,2937,95572.6640625,ok
22,10,4,4,8,2,4,512,16804,7599,3110,3426,13133,6283,2644,2940,180214.71875,ok
22,10,4,4,16,8,2,512,19880,9727,4836,4834,13784,6859,3103,3301,110702.71875,ok
22,10,4,4,16,4,4,512,19904,9681,4844,4692,14611,7016,3008,3328,192427.609375,ok
22,10,4,4,16,2,8,512,19620,8887,3630,3946,15226,7094,2950,3253,359083.84375,ok
22,10,5,3,8,4,2,512,18416,9223,4670,3504,12310,6189,3247,2336,96922.484375,ok
22,10,5,3,8,2,4,512,16804,7599,3846,2874,13096,6251,3239,2316,180269.15625,ok
22,10,5,3,16,8,2,512,19810,9727,4824,4774,13815,6876,3550,2842,110751.65625,ok
22,10,5,3,16,4,4,512,19594,9481,4836,4596,14602,7013,3642,2716,191940.921875,ok
22,10,5,3,16,2,8,512,19620,8887,4494,3074,15204,7088,3629,2551,358414.0625,ok
