20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
14,9,5,4,64,32,2,512,19562,9673,4528,4524,8804,5064,2747,2543,79147.0703125,ok
14,9,5,4,64,16,4,512,10754,6845,3830,3348,7266,4689,2688,2431,137290.109375,ok
14,9,5,4,64,8,8,512,8914,5625,3188,2848,7375,4696,2673,2428,256000.484375,ok
14,9,5,4,64,4,16,512,9130,5753,3252,2896,7692,4879,2768,2504,491923.96875,ok
14,9,5,4,64,2,32,512,9538,6033,3404,3016,7983,5054,2853,2575,960035.1875,ok
14,9,5,4,32,16,2,512,8568,5421,3028,2706,5925,3885,2256,2081,69652.40625,ok
14,9,5,4,32,8,4,512,7682,4825,2728,2558,6282,4031,2314,2127,128815.3828125,ok
14,9,5,4,32,4,8,512,7786,4889,2752,2558,6680,4244,2416,2215,247779.84375,ok
14,9,5,4,32,2,16,512,7968,5009,2828,2558,6999,4422,2505,2288,483424.65625,ok
14,9,5,4,16,8,2,512,7066,4429,2494,2558,5434,3555,2074,1925,65018.859375,ok
14,9,5,4,16,4,4,512,7114,4457,2512,2302,5972,3832,2200,2034,124419.3046875,ok
14,9,5,4,16,2,8,512,7184,4495,2540,2558,6349,4028,2292,2113,241993.609375,ok
14,9,5,4,8,4,2,512,6778,4241,2392,2204,5314,3481,2031,1882,63261.671875,ok
14,9,5,4,8,2,4,512,6792,4241,2396,2302,5798,3722,2133,1972,121869.2109375,ok
15,8,5,4,64,32,2,512,19166,9215,4528,4506,8672,4542,2740,2525,78473.7109375,ok
15,8,5,4,64,16,4,512,11476,6105,3830,3348,7672,4184,2667,2415,136772.03125,ok
15,8,5,4,64,8,8,512,9510,5029,3188,2848,7834,4207,2670,2426,253325.484375,ok
15,8,5,4,64,4,16,512,9742,5141,3252,2896,8194,4367,2770,2502,488488.9375,ok
15,8,5,4,64,2,32,512,10182,5389,3404,3016,8507,4522,2852,2574,958886.75,ok
15,8,5,4,32,16,2,512,9148,4841,3046,2706,6269,3502,2252,2077,69246.4609375,ok
15,8,5,4,32,8,4,512,8190,4311,2728,2558,6653,3619,2311,2124,127495.921875,ok
15,8,5,4,32,4,8,512,8302,4373,2752,2558,7113,3813,2417,2219,244784.8125,ok
15,8,5,4,32,2,16,512,8500,4477,2828,2552,7441,3959,2503,2286,478485.34375,ok
15,8,5,4,16,8,2,512,7530,3965,2494,2558,5744,3214,2071,1927,64362.0703125,ok
15,8,5,4,16,4,4,512,7582,3989,2512,2558,6296,3427,2187,2022,123193.7109375,ok
15,8,5,4,16,2,8,512,7662,4019,2540,2558,6741,3616,2291,2112,238383.65625,ok
15,8,5,4,8,4,2,512,7222,3797,2392,2558,5586,3130,2020,1877,61609.17578125,ok
15,8,5,4,8,2,4,512,7242,3793,2396,2558,6160,3356,2140,1983,120289.3125,ok
15,9,4,4,64,32,2,512,19166,9673,4618,4506,8623,5005,2360,2505,75718.5390625,ok
15,9,4,4,64,16,4,512,11476,6845,3108,3348,7675,4660,2184,2417,132398.0625,ok
15,9,4,4,64,8,8,512,9510,5625,2592,2848,7820,4685,2179,2422,245538.78125,ok
15,9,4,4,64,4,16,512,9742,5753,2640,2896,8179,4865,2251,2499,473465.15625,ok
15,9,4,4,64,2,32,512,10182,6033,2760,3016,8492,5046,2318,2570,929285.875,ok
15,9,4,4,32,16,2,512,9148,5421,2448,2706,6205,3844,1834,2056,66707.125,ok
15,9,4,4,32,8,4,512,8190,4825,2220,2558,6642,4030,1891,2125,122483.640625,ok
15,9,4,4,32,4,8,512,8302,4889,2236,2492,7090,4233,1970,2209,238618.453125,ok
15,9,4,4,32,2,16,512,8500,5009,2296,2558,7416,4408,2032,2281,463028.375,ok
15,9,4,4,16,8,2,512,7530,4429,2044,2558,5744,3565,1708,1931,62384.40234375,ok
15,9,4,4,16,4,4,512,7582,4457,2044,2302,6273,3804,1785,2023,119176.6484375,ok
