20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
26,15,7,0,8,4,2,512,16140,8525,4036,4566,12530,7179,3563,1535,98175.078125,ok
26,15,7,0,8,2,4,512,16224,8585,4044,4566,13748,7626,3704,1577,192769.734375,ok
26,15,7,0,16,8,2,512,16668,8847,4198,4566,12685,7356,3649,1545,101115.3515625,ok
26,15,7,0,16,4,4,512,16764,8885,4204,3080,13997,7779,3788,1575,195246.140625,ok
26,15,7,0,16,2,8,512,16954,9005,4260,4566,14968,8132,3909,1610,382216.71875,ok
27,14,7,0,8,4,2,512,16694,7973,4036,4566,12890,6776,3575,1536,97735.078125,ok
27,14,7,0,8,2,4,512,16782,8029,4044,4566,14120,7147,3712,1574,191502.0625,ok
27,14,7,0,16,8,2,512,17240,8275,4198,3080,13117,6895,3637,1540,100642.65625,ok
27,14,7,0,16,4,4,512,17342,8309,4204,4566,14427,7286,3787,1578,194111.25,ok
27,14,7,0,16,2,8,512,17538,8421,4260,3080,15473,7640,3918,1608,380733.5,ok
27,15,6,0,8,4,2,512,16694,8525,3484,3080,12862,7202,3100,1535,95926.0703125,ok
27,15,6,0,8,2,4,512,16782,8585,3508,4566,14128,7621,3219,1579,187360.90625,ok
27,15,6,0,16,8,2,512,17240,8847,3626,3080,13093,7315,3155,1538,98660.640625,ok
27,15,6,0,16,4,4,512,17342,8885,3648,4566,14412,7778,3289,1579,190312.03125,ok
27,15,6,0,16,2,8,512,17538,9005,3676,3080,15441,8140,3387,1607,373419.5,ok
28,13,7,0,8,4,2,512,17246,7421,4036,4566,13223,6349,3567,1536,96943.6171875,ok
28,13,7,0,8,2,4,512,17358,7473,4044,4566,14554,6693,3722,1580,189366.9375,ok
28,13,7,0,16,8,2,512,17812,7703,4198,4566,13500,6458,3639,1544,99567.9140625,ok
28,13,7,0,16,4,4,512,17918,7753,4204,3080,14832,6816,3785,1574,192028.671875,ok
28,13,7,0,16,2,8,512,18142,7837,4260,4566,15947,7123,3916,1610,377191.96875,ok
28,14,6,0,8,4,2,512,17246,7973,3484,4566,13177,6761,3093,1535,95709.015625,ok
28,14,6,0,8,2,4,512,17358,8029,3508,3080,14538,7155,3219,1576,187194.609375,ok
28,14,6,0,16,8,2,512,17812,8275,3626,4566,13510,6896,3164,1547,97697.9453125,ok
28,14,6,0,16,4,4,512,17918,8309,3648,3080,14825,7295,3270,1574,190793.203125,ok
28,14,6,0,16,2,8,512,18142,8421,3676,4566,15845,7611,3379,1605,367163.25,ok
28,15,5,0,8,4,2,512,17246,8525,2932,3080,13129,7171,2615,1530,93469.8203125,ok
28,15,5,0,8,2,4,512,17358,8585,2952,4566,14530,7614,2716,1578,183700.359375,ok
28,15,5,0,16,8,2,512,17812,8847,3054,3080,13420,7300,2666,1537,96246.34375,ok
28,15,5,0,16,4,4,512,17918,8885,3052,3080,14771,7714,2766,1573,185475.90625,ok
28,15,5,0,16,2,8,512,18142,9005,3092,4566,15899,8137,2853,1608,365035.84375,ok
29,12,7,0,8,4,2,512,17798,6869,4036,4566,13603,5925,3582,1541,95811.6484375,ok
29,12,7,0,8,2,4,512,17914,6917,4044,3080,14951,6205,3711,1574,189173.75,ok
29,12,7,0,16,8,2,512,18384,7131,4198,4566,13821,6014,3631,1548,98850.890625,ok
29,12,7,0,16,4,4,512,18496,7157,4204,4566,15258,6343,3792,1577,191213.265625,ok
29,12,7,0,16,2,8,512,18706,7253,4260,3080,16399,6601,3914,1608,374163.21875,ok
29,13,6,0,8,4,2,512,17798,7421,3484,4566,13558,6352,3102,1540,94319.921875,ok
29,13,6,0,8,2,4,512,17914,7473,3508,4566,14957,6679,3218,1579,184977.875,ok
29,13,6,0,16,8,2,512,18384,7703,3626,4566,13788,6447,3154,1543,96967.53125,ok
29,13,6,0,16,4,4,512,18496,7753,3648,4566,15208,6815,3279,1576,187134.03125,ok
29,13,6,0,16,2,8,512,18706,7837,3676,4566,16370,7108,3378,1605,366542.40625,ok
29,14,5,0,8,4,2,512,17798,7973,2932,4566,13521,6766,2624,1534,92923.9453125,ok
29,14,5,0,8,2,4,512,17914,8029,2952,3080,14916,7145,2714,1575,181520.53125,ok
29,14,5,0,16,8,2,512,18384,8275,3054,4566,13778,6888,2667,1541,94914.453125,ok
29,14,5,0,16,4,4,512,18496,8309,3052,4566,15221,7298,2774,1579,184468.1875,ok
29,14,5,0,16,2,8,512,18706,8421,3092,4566,16357,7618,2851,1606,362627.6875,ok
29,15,4,0,8,4,2,512,17798,8525,2380,3080,13480,7182,2139,1533,90777.0625,ok
29,15,4,0,8,2,4,512,17914,8585,2376,3080,14859,7598,2208,1573,177872.40625,ok
29,15,4,0,16,8,2,512,18384,8847,2482,3080,13708,7288,2175,1536,93602.4609375,ok
29,15,4,0,16,4,4,512,18496,8885,2476,4566,15101,7722,2244,1568,180095.640625,ok
29,15,4,0,16,2,8,512,18706,9005,2508,4566,16336,8119,2317,1607,354950.875,ok
30,11,7,0,8,4,2,512,18350,6317,4036,4566,13954,5483,3587,1542,95752.6015625,ok
