20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_gi5gb_mb,avg_gi5gb_mb,total_latency_ms,status
8,12,6,6,32,16,2,512,4854,3501,103743.25,ok
8,12,6,6,32,8,4,512,4858,3505,161614.484375,ok
8,12,6,6,32,4,8,512,4764,3615,281350.8125,ok
8,12,6,6,32,2,16,512,2458,1765,,timeout
8,12,6,6,64,32,2,512,4854,3370,,OOM_rank3
8,12,6,6,64,16,4,512,4840,3524,,OOM_rank3
8,12,6,6,64,8,8,512,4856,3633,,OOM_rank3
8,12,6,6,64,4,16,512,2506,1783,,timeout
8,12,6,6,64,2,32,512,2490,1771,,timeout
9,11,6,6,32,16,2,512,4854,3503,102736.3828125,ok
9,11,6,6,32,8,4,512,4832,3512,160001.171875,ok
9,11,6,6,32,4,8,512,4764,3613,277441.8125,ok
9,11,6,6,32,2,16,512,2458,1737,,timeout
9,11,6,6,64,32,2,512,4854,3400,,OOM_rank3
9,11,6,6,64,16,4,512,4840,3529,,OOM_rank3
9,11,6,6,64,8,8,512,4856,3648,,OOM_rank3
9,11,6,6,64,4,16,512,2506,1772,,timeout
9,11,6,6,64,2,32,512,2490,1747,,timeout
9,12,5,6,32,16,2,512,4826,3203,100831.953125,ok
9,12,5,6,32,8,4,512,4776,3286,156924.65625,ok
9,12,5,6,32,4,8,512,4598,3141,274044.71875,ok
9,12,5,6,32,2,16,512,2072,1526,,timeout
9,12,5,6,64,32,2,512,4836,3071,,OOM_rank3
9,12,5,6,64,16,4,512,4556,3089,,OOM_rank3
9,12,5,6,64,8,8,512,4520,3155,,OOM_rank3
9,12,5,6,64,4,16,512,2120,1516,,timeout
9,12,5,6,64,2,32,512,2104,1555,,timeout
9,12,6,5,32,16,2,512,4854,3494,100649.125,ok
9,12,6,5,32,8,4,512,4784,3497,156977.375,ok
9,12,6,5,32,4,8,512,4764,3613,272594.03125,ok
9,12,6,5,32,2,16,512,2458,1767,,timeout
9,12,6,5,64,32,2,512,4854,3534,,OOM_rank2
9,12,6,5,64,16,4,512,4856,3681,,OOM_rank2
9,12,6,5,64,8,8,512,4856,3835,,OOM_rank1
9,12,6,5,64,4,16,512,2506,1780,,timeout
9,12,6,5,64,2,32,512,2490,1791,,timeout
10,10,6,6,32,16,2,512,4854,3504,101730.796875,ok
10,10,6,6,32,8,4,512,4784,3503,158803.96875,ok
10,10,6,6,32,4,8,512,4764,3619,276542.125,ok
10,10,6,6,32,2,16,512,2458,1735,,timeout
10,10,6,6,64,32,2,512,4854,3403,,OOM_rank3
10,10,6,6,64,16,4,512,4848,3519,,OOM_rank3
10,10,6,6,64,8,8,512,4858,3638,,OOM_rank3
10,10,6,6,64,4,16,512,2506,1744,,timeout
10,10,6,6,64,2,32,512,2490,1721,,timeout
10,11,5,6,32,16,2,512,4826,3199,99526.8359375,ok
10,11,5,6,32,8,4,512,4652,3282,155455.671875,ok
10,11,5,6,32,4,8,512,4634,3150,269684.6875,ok
10,11,5,6,32,2,16,512,2072,1484,,timeout
10,11,5,6,64,32,2,512,4810,3086,,OOM_rank3
10,11,5,6,64,16,4,512,4556,3082,,OOM_rank3
