20gb,10gb,5gb,5gb,batch_size,microbatch_size,num_microbatches,max_new_tokens,peak_rank0_20gb_mb,peak_rank1_10gb_mb,peak_rank2_5gb_mb,peak_rank3_5gb_mb,avg_rank0_20gb_mb,avg_rank1_10gb_mb,avg_rank2_5gb_mb,avg_rank3_5gb_mb,total_latency_ms,status
16,8,4,4,8,4,2,512,9296,4609,2352,2602,6071,3177,1675,1910,53997.16796875,ok
16,8,4,4,8,2,4,512,8154,4043,2074,2404,6444,3321,1731,1973,101036.1875,ok
16,8,4,4,16,8,2,512,25678,12945,6636,6946,9980,5180,2695,2956,60545.97265625,ok
16,8,4,4,16,4,4,512,11856,5849,2952,3202,7555,3847,2005,2246,106187.6796875,ok
16,8,4,4,16,2,8,512,9562,4751,2430,2682,7698,3895,2013,2259,199021.9375,ok
16,8,4,4,32,16,2,512,40170,19025,9694,9338,15516,7771,4020,4142,77901.3203125,ok
16,8,4,4,32,8,4,512,39742,17799,9038,9290,15078,6874,3583,3865,120997.546875,ok
16,8,4,4,32,4,8,512,16976,8469,4292,4542,10078,5073,2602,2847,211098.34375,ok
16,8,4,4,32,2,16,512,12378,6167,3142,3396,9705,4870,2500,2749,397114.28125,ok
16,8,4,4,64,32,2,512,40120,19933,9640,9684,19750,9699,4831,4994,115541.78125,ok
16,8,4,4,64,16,4,512,39746,19715,9188,9684,19956,10096,4778,5332,154897.578125,ok
16,8,4,4,64,8,8,512,36914,19493,8662,9154,18135,9258,4531,4901,239808.625,ok
16,8,4,4,64,4,16,512,27216,13609,6872,7124,14775,7419,3776,4024,418604.40625,ok
16,8,4,4,64,2,32,512,18010,8999,4566,4820,13408,6711,3422,3673,793590.0625,ok
17,7,4,4,8,4,2,512,9842,4063,2352,2602,6341,2814,1666,1900,54012.28125,ok
17,7,4,4,8,2,4,512,8628,3569,2074,2404,6787,2949,1723,1978,100368.1875,ok
17,7,4,4,16,8,2,512,27252,11371,6636,6946,10412,4473,2628,2884,60117.6796875,ok
17,7,4,4,16,4,4,512,12562,5143,2952,3202,7935,3415,1996,2240,105661.0,ok
17,7,4,4,16,2,8,512,10124,4189,2430,2682,8112,3439,2010,2256,198513.5625,ok
17,7,4,4,32,16,2,512,40126,19655,9694,9338,15805,7461,3968,4089,77095.109375,ok
17,7,4,4,32,8,4,512,37558,19587,9038,9290,14403,7527,3548,3833,119228.4375,ok
17,7,4,4,32,4,8,512,18002,7443,4292,4542,10604,4468,2600,2842,210428.09375,ok
17,7,4,4,32,2,16,512,13116,5429,3142,3396,10253,4283,2491,2742,396382.96875,ok
17,7,4,4,64,32,2,512,39670,19855,9722,9684,19196,9160,4816,4912,113468.7265625,ok
17,7,4,4,64,16,4,512,39966,19591,9188,9684,20272,9476,4756,5276,153402.796875,ok
17,7,4,4,64,8,8,512,36150,18041,8662,9154,18815,8638,4515,4886,237592.03125,ok
17,7,4,4,64,4,16,512,28882,11943,6872,7124,15638,6506,3765,4012,417691.5,ok
17,7,4,4,64,2,32,512,19100,7909,4566,4820,14195,5900,3419,3669,791707.6875,ok
17,8,4,3,8,4,2,512,9842,4609,2352,2056,6280,3155,1663,1536,52434.84765625,ok
17,8,4,3,8,2,4,512,8628,4043,2074,2018,6806,3333,1731,1595,98092.1484375,ok
17,8,4,3,16,8,2,512,27252,12945,6636,5372,10325,5083,2644,2298,58577.3515625,ok
17,8,4,3,16,4,4,512,12562,5849,2952,2536,7900,3843,1992,1784,102582.203125,ok
17,8,4,3,16,2,8,512,10124,4751,2430,2120,8095,3882,2004,1797,195589.109375,ok
17,8,4,3,32,16,2,512,40126,19025,9694,9502,15641,7584,3929,3666,75093.1328125,ok
17,8,4,3,32,8,4,512,37558,19091,9038,8896,14274,6830,3539,3542,116839.0546875,ok
17,8,4,3,32,4,8,512,18002,8469,4292,3516,10578,5054,2592,2238,204845.015625,ok
17,8,4,3,32,2,16,512,13116,6167,3142,2658,10244,4860,2494,2168,390582.65625,ok
17,8,4,3,64,32,2,512,39018,19933,9640,9674,18859,9547,4730,4485,111043.2109375,ok
17,8,4,3,64,16,4,512,39406,19715,9370,9110,20378,9972,4762,4412,149451.265625,ok
17,8,4,3,64,8,8,512,40172,19833,8662,9518,18727,9193,4498,4576,231640.375,ok
17,8,4,3,64,4,16,512,28882,13609,6872,5458,15570,7382,3756,3116,408917.71875,ok
17,8,4,3,64,2,32,512,19100,8999,4566,3730,14175,6696,3417,2864,772210.5,ok
18,6,4,4,8,4,2,512,10388,3517,2352,2602,6562,2474,1663,1894,52875.40625,ok
18,6,4,4,8,2,4,512,9102,3095,2074,2404,7150,2582,1735,1983,99431.3359375,ok
18,6,4,4,16,8,2,512,28826,9857,6636,6946,10884,3927,2649,2911,59540.08984375,ok
18,6,4,4,16,4,4,512,13268,4477,2952,3202,8283,2950,1982,2223,105545.171875,ok
18,6,4,4,16,2,8,512,10686,3627,2430,2682,8539,2993,2011,2257,196870.1875,ok
18,6,4,4,32,16,2,512,39082,19933,9694,9338,15287,7201,3911,4042,75939.75,ok
18,6,4,4,32,8,4,512,39700,16885,9038,9290,15318,6422,3517,3819,118235.109375,ok
18,6,4,4,32,4,8,512,19028,6417,4292,4542,11160,3854,2587,2830,207415.65625,ok
18,6,4,4,32,2,16,512,13854,4691,3142,3396,10774,3705,2488,2738,390397.84375,ok
18,6,4,4,64,32,2,512,39934,19885,9640,9684,18995,9137,4743,4917,112896.234375,ok
18,6,4,4,64,16,4,512,39592,19487,9692,9684,20187,8862,4741,5259,151326.390625,ok
18,6,4,4,64,8,8,512,39080,19467,8662,9154,19415,8167,4486,4862,234588.421875,ok
18,6,4,4,64,4,16,512,30548,10277,6872,7124,16439,5605,3754,4002,413357.125,ok
18,6,4,4,64,2,32,512,20190,6819,4566,4820,14983,5101,3420,3671,788611.75,ok
18,7,4,3,8,4,2,512,10388,4063,2352,2056,6584,2820,1670,1537,52384.72265625,ok
18,7,4,3,8,2,4,512,9102,3569,2074,2018,7107,2944,1731,1588,97366.8359375,ok
18,7,4,3,16,8,2,512,28826,11371,6636,5372,10760,4421,2602,2260,58190.55859375,ok
18,7,4,3,16,4,4,512,13268,5143,2952,2536,8199,3159,1958,1756,102766.3046875,ok
18,7,4,3,16,2,8,512,10686,4189,2430,2120,8532,3311,2009,1800,195113.234375,ok
18,7,4,3,32,16,2,512,39082,19655,9694,9502,15187,7335,3925,3628,74395.2109375,ok
18,7,4,3,32,8,4,512,39700,19587,9038,8896,15278,7422,3531,3558,115567.7421875,ok
18,7,4,3,32,4,8,512,19028,7443,4292,3516,11107,4429,2575,2226,202727.125,ok
18,7,4,3,32,2,16,512,13854,5429,3142,2658,10785,4278,2490,2165,389772.65625,ok
18,7,4,3,64,32,2,512,39934,19855,9640,9674,18740,9002,4695,4457,110297.703125,ok
18,7,4,3,64,16,4,512,39592,19591,9188,9110,19973,9359,4700,4400,147417.15625,ok
18,7,4,3,64,8,8,512,38792,18041,8662,9518,19408,8554,4476,4567,229318.109375,ok
18,7,4,3,64,4,16,512,30548,11943,6872,5458,16340,6467,3733,3100,398737.71875,ok
18,7,4,3,64,2,32,512,20190,7909,4566,3730,14969,5897,3417,2865,771524.6875,ok
